Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
TG Gordon,2012-2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0
JW Hastings,2010-2011,3,3,2,32,15,32.00,18,177.77,0,0,0,2,1
GA Lamb,2010-2010,5,4,2,32,14*,16.00,54,59.25,0,0,1,1,0
SNJ O'Keefe,2010-2011,7,5,0,32,22,6.40,26,123.07,0,0,0,4,1
J Theron,2010-2012,9,3,3,32,31*,-,21,152.38,0,0,0,3,1
DI Allan,2012-2012,5,5,0,31,17,6.20,56,55.35,0,0,0,4,0
TR Birt,2010-2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1
R Dravid,2011-2011,1,1,0,31,31,31.00,21,147.61,0,0,0,0,3
PA Nixon,2007-2007,1,1,1,31,31*,-,22,140.90,0,0,0,2,1
BA Stokes,2011-2011,2,1,0,31,31,31.00,23,134.78,0,0,0,3,1
Q de Kock,2012-2012,3,3,2,30,28*,30.00,27,111.11,0,0,0,5,0
WW Hinds,2006-2010,5,5,1,30,14,7.50,41,73.17,0,0,1,3,0
NO Miller,2009-2010,7,4,3,28,11*,28.00,29,96.55,0,0,0,1,0
PJ Ongondo,2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2
Abdur Razzak,2006-2012,24,15,8,27,9,3.85,54,50.00,0,0,3,1,0
NE Bonner,2011-2012,2,2,0,27,24,13.50,38,71.05,0,0,0,2,0
AG Cremer,2008-2012,9,5,1,27,17,6.75,37,72.97,0,0,1,2,0
Mohammad Iqbal,2008-2008,3,3,0,27,22,9.00,39,69.23,0,0,0,1,0
Nadif Chowdhury,2006-2007,3,3,0,27,12,9.00,23,117.39,0,0,0,2,0
H Osinde,2008-2012,9,5,2,27,17,9.00,28,96.42,0,0,0,1,2
MP Vaughan,2005-2007,2,2,0,27,27,13.50,22,122.72,0,0,1,4,0
D Ganga,2006-2006,1,1,0,26,26,26.00,31,83.87,0,0,0,3,1
RA Bhatti,2012-2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0
Shahriar Nafees,2006-2006,1,1,0,25,25,25.00,17,147.05,0,0,0,3,1
CRD Fernando,2006-2011,17,6,2,24,21,6.00,21,114.28,0,0,2,4,0
JN Gillespie,2005-2005,1,1,0,24,24,24.00,18,133.33,0,0,0,4,0
Imrul Kayes,2010-2011,4,4,0,24,22,6.00,37,64.86,0,0,2,3,1
Rameez Raja (2),2011-2011,2,2,0,24,23,12.00,29,82.75,0,0,0,2,0
CP Schofield,2007-2007,4,4,3,24,9*,24.00,20,120.00,0,0,0,2,0
C Zhuwao,2008-2011,5,5,0,24,12,4.80,39,61.53,0,0,3,4,0
AB Barath,2010-2011,2,2,0,23,15,11.50,39,58.97,0,0,0,3,0
GD Elliott,2009-2009,1,1,1,23,23*,-,30,76.66,0,0,0,1,0
Hammad Azam,2012-2012,3,2,1,23,21,23.00,17,135.29,0,0,0,3,1
MF Maharoof,2006-2008,7,4,1,23,13*,7.66,27,85.18,0,0,1,0,1
Zulqarnain Haider,2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0
Anamul Haque,2012-2012,1,1,0,22,22,22.00,12,183.33,0,0,0,3,1
PJ Cummins,2011-2012,11,5,1,22,13,5.50,24,91.66,0,0,1,1,1
AB Dinda,2009-2012,9,2,1,22,19,22.00,24,91.66,0,0,0,1,0
PJ Ingram,2010-2010,3,3,1,22,20*,11.00,35,62.85,0,0,1,3,0
DP Nannes,2009-2010,17,5,3,22,12*,11.00,18,122.22,0,0,0,1,1
JDS Neesham,2012-2012,3,2,0,22,12,11.00,17,129.41,0,0,0,4,0
A Nehra,2009-2011,8,3,0,22,22,7.33,16,137.50,0,0,2,1,2
TD Paine,2009-2011,5,3,0,22,21,7.33,18,122.22,0,0,1,2,1
FL Reifer,2009-2009,1,1,0,22,22,22.00,20,110.00,0,0,0,2,1
SE Bond,2005-2010,20,8,3,21,8*,4.20,21,100.00,0,0,2,2,0
MR Gillespie,2006-2008,11,6,4,21,7,10.50,29,72.41,0,0,0,0,0
Shoaib Akhtar,2006-2010,15,6,3,21,8*,7.00,16,131.25,0,0,1,2,1
SJS Smith,2010-2012,5,4,1,21,9,7.00,40,52.50,0,0,1,1,0
RL Bhudia,2007-2007,3,3,1,20,11*,10.00,20,100.00,0,0,1,0,2
JL Denly,2009-2010,5,5,0,20,14,4.00,29,68.96,0,0,2,2,0
DL Hemp,2008-2008,2,2,0,20,20,10.00,32,62.50,0,0,1,2,1
Jahurul Islam,2010-2012,2,2,0,20,18,10.00,14,142.85,0,0,0,1,1
MJ North,2009-2009,1,1,0,20,20,20.00,21,95.23,0,0,0,1,0
S Sreesanth,2006-2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0
AM Ellis,2012-2012,3,3,1,19,16,9.50,15,126.66,0,0,0,1,1
HGJM Kulatunga,2008-2008,2,2,0,19,11,9.50,38,50.00,0,0,0,0,0
LHD Dilhara,2008-2008,2,1,1,18,18*,-,9,200.00,0,0,0,0,1
XJ Doherty,2012-2012,8,4,3,18,9*,18.00,17,105.88,0,0,0,1,0
Khurram Chohan,2010-2010,4,4,2,18,8,9.00,14,128.57,0,0,0,1,1
T Maruma,2008-2010,4,4,0,18,7,4.50,32,56.25,0,0,0,1,0
Naved-ul-Hasan,2006-2010,4,2,1,18,17*,18.00,16,112.50,0,0,0,0,2
Shafiul Islam,2010-2012,9,4,1,18,16,6.00,24,75.00,0,0,1,1,1
S Thuraisingam,2008-2008,3,2,1,18,15,18.00,24,75.00,0,0,0,1,0
JW Wilson,2005-2005,1,1,0,18,18,18.00,14,128.57,0,0,0,2,0
CJ Anderson,2012-2012,3,2,0,17,12,8.50,14,121.42,0,0,0,2,0
JW Dernbach,2011-2012,18,3,1,17,12,8.50,13,130.76,0,0,0,2,0
RM Hira,2012-2012,12,2,0,17,12,8.50,22,77.27,0,0,0,2,0
LN Onyango,2007-2010,5,4,2,17,5,8.50,21,80.95,0,0,0,0,0
HA Varaiya,2007-2012,14,6,6,17,6*,-,31,54.83,0,0,0,0,0
CJ Ferguson,2009-2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0
Mehrab Hossain jnr,2008-2009,2,2,1,16,10,16.00,25,64.00,0,0,0,1,0
Abdur Rehman,2007-2011,7,4,2,15,7,7.50,17,88.23,0,0,0,0,0
AB Agarkar,2006-2007,4,2,0,15,14,7.50,11,136.36,0,0,0,2,0
NW Bracken,2006-2009,19,6,3,15,4*,5.00,22,68.18,0,0,1,1,0
E Katchay,2008-2008,4,3,2,15,8*,15.00,25,60.00,0,0,1,0,0
LA Pomersbach,2007-2007,1,1,0,15,15,15.00,7,214.28,0,0,0,1,1
RW Price,2008-2012,16,9,4,15,7*,3.00,28,53.57,0,0,1,1,0
Shabir Noori,2012-2012,1,1,0,15,15,15.00,18,83.33,0,0,0,1,0
J Smits,2008-2009,6,2,1,15,11*,15.00,27,55.55,0,0,0,0,0
AO Suji,2007-2010,8,5,2,15,7,5.00,29,51.72,0,0,0,0,0
MK Tiwary,2011-2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0
VB van Jaarsveld,2009-2009,3,3,0,15,12,5.00,23,65.21,0,0,1,0,0
SG Borthwick,2011-2011,1,1,0,14,14,14.00,16,87.50,0,0,0,2,0
G Goudie,2010-2012,3,3,1,14,6*,7.00,13,107.69,0,0,0,2,0
JAH Marshall,2005-2008,3,2,0,14,13,7.00,15,93.33,0,0,0,2,0
GH O'Brien,2008-2008,3,3,1,14,7*,7.00,16,87.50,0,0,1,0,1
AN Petersen,2010-2010,2,2,0,14,8,7.00,19,73.68,0,0,0,1,0
VD Philander,2007-2007,7,4,0,14,6,3.50,28,50.00,0,0,0,0,0
PM Seelaar,2008-2012,15,5,2,14,9*,4.66,15,93.33,0,0,1,0,1
CD Wallace,2012-2012,4,3,2,14,7*,14.00,10,140.00,0,0,0,1,0
CM Wright,2007-2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0
AR Adams,2005-2006,4,2,1,13,7,13.00,12,108.33,0,0,0,1,0
C de Grandhomme,2012-2012,4,4,2,13,8,6.50,17,76.47,0,0,0,1,0
J Edness,2008-2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0
CR Foggo,2008-2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0
PA Hitchcock,2008-2008,1,1,0,13,13,13.00,11,118.18,0,0,0,1,1
SHT Kandamby,2008-2011,5,4,0,13,10,3.25,21,61.90,0,0,1,0,0
SKW Kelly,2008-2008,3,2,2,13,11*,-,24,54.16,0,0,0,0,0
Z Khan,2006-2012,17,4,2,13,9,6.50,10,130.00,0,0,0,0,1
CJ McKay,2010-2012,4,3,1,13,7,6.50,14,92.85,0,0,1,1,1
Mohammad Rafique,2006-2006,1,1,0,13,13,13.00,5,260.00,0,0,0,3,0
WB Rankin,2009-2012,15,3,2,13,7*,13.00,16,81.25,0,0,0,1,0
CMW Read,2006-2006,1,1,0,13,13,13.00,11,118.18,0,0,0,2,0
HMCM Bandara,2006-2009,4,3,1,12,7,6.00,15,80.00,0,0,0,0,0
DT Christian,2010-2012,11,4,2,12,4*,6.00,11,109.09,0,0,0,1,0
HJH Marshall,2005-2006,3,3,0,12,8,4.00,14,85.71,0,0,0,0,0
NV Ojha,2010-2010,2,2,0,12,10,6.00,27,44.44,0,0,0,2,0
R Rampaul,2007-2012,19,6,5,12,8,12.00,21,57.14,0,0,0,0,0
MC Sorensen,2012-2012,10,2,2,12,12*,-,13,92.30,0,0,0,0,1
T van der Gugten,2012-2012,6,1,0,12,12,12.00,8,150.00,0,0,0,0,1
AJ Hall,2006-2006,2,1,0,11,11,11.00,10,110.00,0,0,0,1,0
Inzamam-ul-Haq,2006-2006,1,1,1,11,11*,-,15,73.33,0,0,0,0,1
KS Lokuarachchi,2012-2012,2,2,0,11,11,5.50,13,84.61,0,0,1,1,0
WK McCallan,2008-2009,9,3,2,11,9*,11.00,15,73.33,0,0,1,1,0
AA Mulla,2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0
RM West,2009-2009,5,4,1,11,8,3.66,11,100.00,0,0,0,1,0
Yasir Shah,2011-2011,2,1,1,11,11*,-,7,157.14,0,0,0,1,0
CS Baugh,2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0
FH Edwards,2007-2012,20,4,2,10,7*,5.00,9,111.11,0,0,1,1,0
S Jyoti,2008-2008,2,2,1,10,10*,10.00,20,50.00,0,0,1,0,0
RWT Key,2009-2009,1,1,1,10,10*,-,8,125.00,0,0,0,0,0
HG Kuhn,2009-2011,5,4,2,10,5*,5.00,16,62.50,0,0,0,0,0
M Ntini,2005-2011,10,4,2,10,5,5.00,11,90.90,0,0,1,2,0
PP Ojha,2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1
BA Parchment,2007-2007,1,1,0,10,10,10.00,6,166.66,0,0,0,1,1
AU Rashid,2009-2009,5,2,1,10,9*,10.00,19,52.63,0,0,0,0,0
ACL Richards,2007-2007,1,1,0,10,10,10.00,15,66.66,0,0,0,1,0
Shapoor Zadran,2010-2012,10,5,3,10,9,5.00,25,40.00,0,0,1,0,1
ZE Surkari,2008-2008,4,3,0,10,6,3.33,33,30.30,0,0,1,0,0
SW Tait,2007-2011,19,5,1,10,6,2.50,12,83.33,0,0,1,0,1
SR Tendulkar,2006-2006,1,1,0,10,10,10.00,12,83.33,0,0,0,2,0
RJ Trott,2008-2008,3,3,1,10,8,5.00,24,41.66,0,0,1,0,0
Abul Hasan,2012-2012,4,1,0,9,9,9.00,8,112.50,0,0,0,1,0
JJ Celestine,2008-2008,3,3,0,9,7,3.00,17,52.94,0,0,1,0,0
Elias Sunny,2012-2012,7,4,2,9,5,4.50,9,100.00,0,0,0,1,0
ST Finn,2011-2012,13,2,2,9,8*,-,13,69.23,0,0,0,1,0
KM Jarvis,2011-2012,8,4,1,9,9*,3.00,17,52.94,0,0,3,0,0
SW Masakadza,2010-2012,4,3,0,9,8,3.00,11,81.81,0,0,1,1,0
Mohammad Asif,2006-2010,11,3,3,9,5*,-,3,300.00,0,0,0,2,0
Mohammad Sami,2010-2012,5,2,2,9,5*,-,12,75.00,0,0,0,0,0
SP Narine,2012-2012,13,3,1,9,4*,4.50,9,100.00,0,0,0,1,0
SO Ngoche,2010-2012,8,5,1,9,4,2.25,17,52.94,0,0,2,0,0
JS Patel,2005-2008,11,4,1,9,5,3.00,14,64.28,0,0,1,1,0
WKD Perkins,2008-2008,1,1,0,9,9,9.00,11,81.81,0,0,0,1,0
IH Romaine,2008-2008,2,2,0,9,8,4.50,20,45.00,0,0,0,0,0
AM Blignaut,2010-2010,1,1,0,8,8,8.00,8,100.00,0,0,0,1,0
GH Bodi,2007-2007,1,1,0,8,8,8.00,25,32.00,0,0,0,0,0
Dawlat Zadran,2012-2012,5,3,1,8,8,4.00,8,100.00,0,0,1,2,0
S Randiv,2010-2011,7,2,0,8,6,4.00,6,133.33,0,0,0,1,0
R McLaren,2009-2012,8,3,3,8,6*,-,9,88.88,0,0,0,0,0
BAW Mendis,2008-2012,27,7,4,8,4*,2.66,17,47.05,0,0,0,1,0
M Morkel,2007-2012,31,3,1,8,6,4.00,8,100.00,0,0,0,0,1
Rubel Hossain,2009-2012,6,2,2,8,8*,-,10,80.00,0,0,0,1,0
Shahadat Hossain,2006-2010,5,5,3,8,4*,4.00,12,66.66,0,0,1,0,0
I Sharma,2008-2012,13,3,2,8,5*,8.00,9,88.88,0,0,1,1,0
DW Steyn,2007-2012,29,5,3,8,5,4.00,10,80.00,0,0,0,0,0
RP Arnold,2006-2006,1,1,0,7,7,7.00,7,100.00,0,0,0,0,0
JH Davey,2012-2012,1,1,0,7,7,7.00,6,116.66,0,0,0,0,0
AS Dean,2008-2008,1,1,0,7,7,7.00,9,77.77,0,0,0,0,0
P Kumar,2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
ND McKenzie,2006-2009,2,1,1,7,7*,-,8,87.50,0,0,0,0,0
CB Mpofu,2008-2012,11,4,2,7,4*,3.50,9,77.77,0,0,2,0,0
NM Odhiambo,2010-2012,3,2,2,7,6*,-,5,140.00,0,0,0,1,0
GA Rogers,2008-2009,2,2,2,7,6*,-,8,87.50,0,0,0,0,0
E Schiferli,2008-2010,7,3,1,7,5*,3.50,16,43.75,0,0,1,0,0
JN Snape,2007-2007,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0
Syed Rasel,2007-2008,8,3,1,7,6,3.50,9,77.77,0,0,0,1,0
BV Vitori,2012-2012,2,1,1,7,7*,-,4,175.00,0,0,0,0,0
DG Brownlie,2010-2012,4,4,0,6,5,1.50,16,37.50,0,0,2,1,0
RMS Eranga,2012-2012,2,1,0,6,6,6.00,7,85.71,0,0,0,1,0
NM Hauritz,2009-2009,3,2,0,6,4,3.00,10,60.00,0,0,0,1,0
Javed Ahmadi,2012-2012,2,1,0,6,6,6.00,5,120.00,0,0,0,1,0
B Kumar,2012-2012,2,1,1,6,6*,-,6,100.00,0,0,0,0,0
KO Meth,2012-2012,2,1,1,6,6*,-,6,100.00,0,0,0,0,0
AR Nurse,2011-2011,2,1,1,6,6*,-,3,200.00,0,0,0,1,0
JA Rudolph,2006-2006,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
R Strydom,2008-2008,4,2,1,6,5*,6.00,7,85.71,0,0,0,0,0
MS Atapattu,2006-2006,2,1,0,5,5,5.00,8,62.50,0,0,0,0,0
S Dhawan,2011-2011,1,1,0,5,5,5.00,11,45.45,0,0,0,0,0
GD McGrath,2005-2005,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0
CS Martin,2007-2008,6,1,1,5,5*,-,6,83.33,0,0,0,0,0
Mohammad Salman,2011-2011,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
T Mupariwa,2007-2008,4,2,2,5,3*,-,3,166.66,0,0,0,0,0
Najibullah Zadran,2012-2012,1,1,0,5,5,5.00,2,250.00,0,0,0,1,0
JL Pattinson,2011-2012,4,2,2,5,5*,-,3,166.66,0,0,0,1,0
AG Prince,2005-2005,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0
Raza Hasan,2012-2012,7,2,2,5,5*,-,12,41.66,0,0,0,1,0
Sarfaraz Ahmed,2010-2010,2,1,0,5,5,5.00,5,100.00,0,0,0,1,0
RJ Sidebottom,2007-2010,18,1,1,5,5*,-,4,125.00,0,0,0,1,0
R Telemachus,2006-2007,3,1,1,5,5*,-,3,166.66,0,0,0,0,0
DR Tuffey,2005-2010,3,2,1,5,5*,5.00,5,100.00,0,0,1,1,0
Ahsan Malik,2012-2012,4,1,1,4,4*,-,1,400.00,0,0,0,1,0
GJ Batty,2009-2009,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0
JAR Blain,2007-2008,6,3,1,4,3*,2.00,5,80.00,0,0,1,0,0
IG Butler,2009-2010,15,5,4,4,2*,4.00,9,44.44,0,0,0,0,0
PC Connell,2008-2010,9,3,2,4,3*,4.00,7,57.14,0,0,1,0,0
PA Desai,2012-2012,1,1,1,4,4*,-,7,57.14,0,0,0,0,0
CK Langeveldt,2005-2010,9,3,2,4,2*,4.00,8,50.00,0,0,0,0,0
RT Lyons,2010-2010,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0
GE Mathurin,2011-2012,3,2,2,4,3*,-,5,80.00,0,0,0,0,0
Nazmus Sadat,2006-2006,1,1,0,4,4,4.00,3,133.33,0,0,0,0,0
JO Ngoche,2012-2012,5,3,1,4,2,2.00,17,23.52,0,0,0,0,0
T Thushara,2008-2010,6,2,0,4,3,2.00,8,50.00,0,0,0,0,0
MC Bascombe,2011-2011,1,1,0,3,3,3.00,7,42.85,0,0,0,0,0
CL Cairns,2005-2006,2,2,0,3,2,1.50,13,23.07,0,0,0,0,0
Junaid Khan,2011-2012,3,1,1,3,3*,-,4,75.00,0,0,0,0,0
MS Kasprowicz,2005-2005,2,1,1,3,3*,-,5,60.00,0,0,0,0,0
RK Kleinveldt,2008-2012,5,2,2,3,3*,-,3,100.00,0,0,0,0,0
GJP Kruger,2006-2006,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
AF Milne,2010-2012,4,2,2,3,3*,-,7,42.85,0,0,0,0,0
TJ Murtagh,2012-2012,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
Nazmul Hossain,2009-2012,4,2,2,3,3*,-,15,20.00,0,0,0,0,0
KAJ Roach,2008-2012,11,1,1,3,3*,-,2,150.00,0,0,0,0,0
RP Singh,2007-2009,10,2,2,3,2*,-,3,100.00,0,0,0,0,0
MA Starc,2012-2012,8,2,1,3,2,3.00,8,37.50,0,0,0,0,0
Zahid Hussain,2012-2012,3,2,2,3,2*,-,8,37.50,0,0,0,0,0
OO Bascome,2008-2008,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0
JP Bray,2009-2009,2,2,0,2,2,1.00,17,11.76,0,0,1,0,0
GB Brent,2006-2007,3,1,0,2,2,2.00,5,40.00,0,0,0,0,0
Dawlat Ahmadzai,2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0
GH Dockrell,2010-2012,19,3,2,2,2*,2.00,8,25.00,0,0,1,0,0
RJ Harris,2010-2010,3,1,1,2,2*,-,1,200.00,0,0,0,0,0
BW Hilfenhaus,2007-2012,7,3,1,2,2,1.00,10,20.00,0,0,1,0,0
AJ Ireland,2006-2006,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
A Khan,2009-2009,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0
RJ Kirtley,2007-2007,1,1,1,2,2*,-,4,50.00,0,0,0,0,0
MJ Mason,2006-2008,3,1,0,2,2,2.00,2,100.00,0,0,0,0,0
E Otieno,2012-2012,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0
I Udana,2009-2012,6,2,1,2,1*,2.00,7,28.57,0,0,0,0,0
R Vinay Kumar,2010-2012,8,1,1,2,2*,-,4,50.00,0,0,0,0,0
UWMBCA Welegedara,2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0
Aftab Alam,2012-2012,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
JM Anderson,2007-2009,19,4,3,1,1*,1.00,2,50.00,0,0,1,0,0
S Badree,2012-2012,6,1,0,1,1,1.00,4,25.00,0,0,0,0,0
DE Bernard,2009-2009,1,1,1,1,1*,-,1,100.00,0,0,0,0,0
CR Brathwaite,2011-2011,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
DR Brown,2007-2007,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0
RW Chakabva,2008-2011,2,2,0,1,1,0.50,9,11.11,0,0,1,0,0
Dhiman Ghosh,2008-2008,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
HH Dippenaar,2006-2006,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
MC Henriques,2009-2009,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
HMRKB Herath,2011-2012,6,2,2,1,1*,-,1,100.00,0,0,0,0,0
JS Jesani,2007-2007,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
MBS Jonkman,2010-2010,3,1,0,1,1,1.00,8,12.50,0,0,0,0,0
GE Kidd,2010-2010,1,1,1,1,1*,-,1,100.00,0,0,0,0,0
J Lewis,2005-2007,2,2,1,1,1,1.00,4,25.00,0,0,0,0,0
J Louw,2008-2009,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
MJ McClenaghan,2012-2012,3,2,1,1,1*,1.00,4,25.00,0,0,1,0,0
SI Mahmood,2006-2009,4,2,2,1,1*,-,2,50.00,0,0,0,0,0
RD McCann,2012-2012,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0
M Muralidaran,2006-2010,12,2,0,1,1,0.50,5,20.00,0,0,1,0,0
ML Nkala,2006-2006,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
MS Panesar,2007-2007,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
MDK Perera,2011-2011,3,2,0,1,1,0.50,6,16.66,0,0,1,0,0
DBL Powell,2007-2007,5,1,1,1,1*,-,1,100.00,0,0,0,0,0
EC Rainsford,2010-2010,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
Raza-ur-Rehman,2012-2012,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0
SMSM Senanayake,2012-2012,2,1,0,1,1,1.00,4,25.00,0,0,0,0,0
PM Siddle,2009-2010,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
Sohrawordi Shuvo,2010-2010,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
EP Thompson,2008-2008,1,1,1,1,1*,-,1,100.00,0,0,0,0,0
JC Tredwell,2012-2012,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
LL Tsotsobe,2009-2012,11,1,0,1,1,1.00,7,14.28,0,0,0,0,0
TE Tucker,2008-2008,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
G Wijekoon,2007-2007,3,2,1,1,1*,1.00,5,20.00,0,0,1,0,0
Aizaz Cheema,2011-2012,5,1,1,0,0*,-,3,0.00,0,0,0,0,0
D Bishoo,2011-2011,4,1,0,0,0,0.00,1,0.00,0,0,1,0,0
IDR Bradshaw,2006-2006,1,1,1,0,0*,-,0,-,0,0,0,0,0
AF Buurman,2010-2010,4,2,0,0,0,0.00,4,0.00,0,0,2,0,0
PP Chawla,2010-2012,7,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DO Christian,2011-2011,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0
A Dananjaya,2012-2012,4,1,1,0,0*,-,0,-,0,0,0,0,0
SM Harwood,2007-2009,3,1,1,0,0*,-,0,-,0,0,0,0,0
T Henderson,2006-2006,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
KC Hodsoll,2008-2008,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
Izatullah Dawlatzai,2012-2012,4,1,1,0,0*,-,3,0.00,0,0,0,0,0
S Keshvani,2010-2010,2,1,1,0,0*,-,1,0.00,0,0,0,0,0
RN Lewis,2008-2008,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
AJ McKay,2010-2010,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
GI Maiden,2008-2008,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
Mohammad Kashif,2010-2010,3,1,1,0,0*,-,0,-,0,0,0,0,0
Mohammad Qazi,2008-2008,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
HJC Mol,2008-2008,4,1,0,0,0,0.00,1,0.00,0,0,1,0,0
A Nel,2005-2007,2,1,1,0,0*,-,2,0.00,0,0,0,0,0
AA Noffke,2007-2008,2,1,0,0,0,0.00,0,-,0,0,1,0,0
MM Patel,2011-2011,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
PDRL Perera,2006-2006,2,2,2,0,0*,-,0,-,0,0,0,0,0
DM Richards,2009-2009,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
A Shahzad,2010-2011,3,1,1,0,0*,-,3,0.00,0,0,0,0,0
Shakeel Ansar,2012-2012,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0
MS Sinclair,2005-2007,2,2,0,0,0,0.00,5,0.00,0,0,2,0,0
M Zondeki,2006-2006,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
YA Abdulla,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,-
Abdur Rauf,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
GW Aldridge,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
TR Ambrose,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
Anwar Ali,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
Arsalan Qadir,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
MS Aulakh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
P Awana,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
LS Baker,2008-2009,3,-,-,-,-,-,-,-,-,-,-,-,-
L Balaji,2012-2012,5,-,-,-,-,-,-,-,-,-,-,-,-
TC Bastiampillai,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
MD Bates,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-
N Boje,2005-2005,1,-,-,-,-,-,-,-,-,-,-,-,-
DE Bollinger,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
DR Briggs,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-
DK Butler,2006-2006,1,-,-,-,-,-,-,-,-,-,-,-,-
TL Chatara,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
SR Clark,2006-2007,9,-,-,-,-,-,-,-,-,-,-,-,-
M de Lange,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
SI de Saram,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
BJ Diamanti,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
PS Eaglestone,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
JP Faulkner,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
B Geeves,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
D Gough,2005-2006,2,-,-,-,-,-,-,-,-,-,-,-,-
SJ Harmison,2005-2006,2,-,-,-,-,-,-,-,-,-,-,-,-
Iftikhar Anjum,2007-2009,2,-,-,-,-,-,-,-,-,-,-,-,-
MM Iqbal,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
Joginder Sharma,2007-2007,4,-,-,-,-,-,-,-,-,-,-,-,-
M Kartik,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-
